City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Angoche,MZ,75.18,broken clouds,-16.23,39.91,Guest House HESADA
15,Kavaratti,IN,79.66,light rain,10.57,72.64,Hotels in Lakshadweep Islands
23,Westport,US,77.0,overcast clouds,41.14,-73.36,The Westport Inn
34,Atuona,PF,79.11,clear sky,-9.8,-139.03,Villa Enata
49,Shelton,US,75.2,light rain,41.32,-73.09,Ansonia Rod & Gun Club
52,Bengkulu,ID,76.33,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
58,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
59,Sao Filipe,CV,77.0,broken clouds,14.9,-24.5,Tortuga B&B
61,Arraial Do Cabo,BR,78.8,few clouds,-22.97,-42.03,Pousada Porto Praia
66,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
67,Bambanglipuro,ID,75.34,overcast clouds,-7.95,110.28,Puri Brata
72,Matara,LK,78.26,overcast clouds,5.95,80.54,Amaloh Boutique Resort
74,Kalabo,ZM,76.93,few clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
94,Vaitape,PF,78.82,overcast clouds,-16.52,-151.75,Conrad Bora Bora Nui
100,Guerrero Negro,MX,79.56,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
102,Jamestown,US,75.99,light rain,42.1,-79.24,Hampton Inn & Suites Jamestown
105,Hilo,US,77.0,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
108,Barcelona,ES,75.99,few clouds,41.39,2.16,Axel Hotel Barcelona
113,Shingu,JP,79.45,moderate rain,33.73,135.98,Shingu UI Hotel
116,Singkang,MY,78.8,few clouds,2.1,102.8,Kampung Seri Makmor Pagoh
117,Ambon,ID,77.0,light rain,-3.7,128.18,Swiss-Belhotel Ambon
125,La Libertad,EC,75.2,few clouds,-2.23,-80.9,Playa Canela Hotel Boutique
126,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
129,Vanimo,PG,76.75,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
132,Ribeira Grande,PT,77.0,broken clouds,38.52,-28.7,Quinta da Meia Eira
151,Hasaki,JP,79.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
152,Bandarbeyla,SO,77.47,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
159,Myitkyina,MM,76.6,overcast clouds,25.38,97.4,Shwe Phyu Hotel
162,Peniche,PT,75.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
171,Mikhaylovsk,RU,77.0,overcast clouds,45.13,42.03,Sun Marko
183,Faanui,PF,77.95,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,Mae Sai,TH,77.0,clear sky,20.43,99.88,Piyaporn Hill Paradise Hotel
194,Tanete,ID,76.14,heavy intensity rain,-3.94,119.78,Wisma Tri Multi
196,Shu,KZ,79.39,overcast clouds,43.6,73.76,Shyngyzkhan
198,Ponta Delgada,PT,77.0,broken clouds,37.73,-25.67,Vila Nova Hotel
202,San Policarpo,PH,79.7,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
206,Dawei,MM,77.43,broken clouds,14.08,98.2,Hotel Dawei
207,Mehran,IR,75.2,scattered clouds,33.12,46.16,بوتیک زنانه بهار
226,Buchanan,LR,78.8,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
230,Novopokrovka,UA,77.0,clear sky,49.84,36.55,Пудж дом
235,Tunceli,TR,75.2,scattered clouds,39.11,39.55,Grand Hotel Şaroğlu
238,Khani,GE,75.2,overcast clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
265,Labuhan,ID,76.39,overcast clouds,-6.88,112.21,bador sepret
283,Meulaboh,ID,76.93,overcast clouds,4.14,96.13,Kost Pria
291,Samarai,PG,77.95,moderate rain,-10.62,150.67,Nuli Sapi
293,Takoradi,GH,76.15,few clouds,4.88,-1.76,Raybow International Hotel
297,Korla,CN,77.0,few clouds,41.76,86.15,Gulisitan Hotel
304,Vila Franca Do Campo,PT,77.0,broken clouds,37.72,-25.43,Pestana Bahia Praia
307,Mutis,CO,79.97,overcast clouds,6.23,-77.4,Paraiso Escondido
313,Sarakhs,IR,75.2,clear sky,36.54,61.16,Sarakhs Abrisham Hotel
317,Marawi,PH,75.99,scattered clouds,8.0,124.29,Salihmaruhom
318,Daru,PG,77.34,light rain,-9.08,143.21,New century hotel
321,Padang,ID,77.02,light rain,-0.95,100.35,Mercure Padang
325,Pemangkat,ID,76.3,overcast clouds,1.17,108.97,Kost H.Syamsuddin
329,Malkapur,IN,77.9,overcast clouds,20.88,76.2,Hotel Sarthi International
332,Bintulu,MY,75.2,few clouds,3.17,113.03,900 Boutique INN
334,Bubaque,GW,79.66,light rain,11.28,-15.83,Casa Dora
350,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
358,Seabra,BR,76.82,clear sky,-12.42,-41.77,Cambuí Hotel
365,Mogadishu,SO,77.54,broken clouds,2.04,45.34,Hotel Juba
366,Monrovia,LR,78.8,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
369,Brownwood,US,77.0,overcast clouds,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
371,Dingle,PH,77.0,broken clouds,11.0,122.67,Camp Pasica
380,Kribi,CM,76.71,overcast clouds,2.95,9.92,Les Vagues bleues
385,Luzhou,CN,76.42,broken clouds,28.87,105.44,Shijichun Hotel
391,Sisophon,KH,78.39,overcast clouds,13.59,102.97,Pyramid Hotel
392,Quballat,TN,77.0,broken clouds,36.54,9.66,Firma Ben Ammar
396,Eyl,SO,78.66,clear sky,7.98,49.82,Amiin Hotel
403,Sungairaya,ID,78.28,light rain,0.7,108.9,808 artel
406,Damaturu,NG,77.09,light rain,11.75,11.96,Summit Conference Centre
424,Greece,US,78.01,moderate rain,43.21,-77.69,"Homewood Suites by Hilton Rochester/Greece, NY"
429,Espanola,US,79.0,clear sky,35.99,-106.08,Santa Claran Hotel
435,Los Llanos De Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
438,Longhua,CN,79.75,scattered clouds,23.61,114.19,Huadu Hotel
445,Bloomsburg,US,78.01,light rain,41.0,-76.45,Hampton Inn Bloomsburg
451,Palmerston,AU,78.01,overcast clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
454,Puerto Carreno,CO,75.2,moderate rain,6.19,-67.49,Casa Hotel Victoria
459,Olinda,BR,77.0,broken clouds,-8.01,-34.86,Hotel 5 Sóis
461,Morondava,MG,75.72,clear sky,-20.28,44.28,La Case Bambou
467,Hambantota,LK,75.2,broken clouds,6.12,81.12,Bungalow 63
472,Roma,US,77.0,overcast clouds,43.21,-75.46,Wingate By Wyndham Rome
479,Leninsk,RU,75.2,clear sky,48.71,45.2,Turbaza Odisseya
487,Lipari,IT,75.99,overcast clouds,38.47,14.95,Hotel Villa Augustus
489,Cotonou,BJ,78.8,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
498,Kutum,SD,75.79,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
501,Porto Novo,BJ,78.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
506,Aguimes,ES,75.2,few clouds,27.91,-15.45,Hotel Villa de Aguimes
511,Tokmak,UA,75.76,clear sky,47.25,35.71,Дом приезжих
513,Hobyo,SO,77.2,clear sky,5.35,48.53,Osmani Hotel
514,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
518,Bashtanka,UA,78.8,scattered clouds,47.41,32.44,Свято Успенський храм ПЦУ
523,Nabire,ID,75.36,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
525,Omis,HR,75.2,overcast clouds,43.44,16.69,Hotel Villa Dvor
550,Maneadero,MX,75.99,clear sky,31.72,-116.57,Casa De Thompson
552,Qixingtai,CN,75.99,clear sky,30.41,111.89,Sunny Hotel
555,Axim,GH,75.49,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
560,Laguna,US,77.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
