City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sheridan,44.83,-106.92,69.01,45,1,8.05,US,2020-08-26 04:31:00
1,Carutapera,-1.2,-46.02,74.16,89,0,3.42,BR,2020-08-26 04:31:00
2,Kumluca,36.37,30.29,84.36,45,0,0.34,TR,2020-08-26 04:31:00
3,Merauke,-8.47,140.33,82.24,73,100,18.28,ID,2020-08-26 04:31:00
4,Pacific Grove,36.62,-121.92,61.0,93,37,3.09,US,2020-08-26 04:26:21
5,Cape Town,-33.93,18.42,57.0,76,20,17.22,ZA,2020-08-26 04:30:20
6,Puerto Ayora,-0.74,-90.35,66.99,91,41,5.01,EC,2020-08-26 04:31:01
7,Rikitea,-23.12,-134.97,70.23,73,28,8.32,PF,2020-08-26 04:31:01
8,Leningradskiy,69.38,178.42,38.01,91,100,13.02,RU,2020-08-26 04:29:06
9,Port Lincoln,-34.73,135.87,66.42,49,55,13.42,AU,2020-08-26 04:31:02
10,Nikolskoye,59.7,30.79,57.2,87,75,6.71,RU,2020-08-26 04:31:02
11,Busselton,-33.65,115.33,62.01,71,93,5.66,AU,2020-08-26 04:31:02
12,Qaanaaq,77.48,-69.36,37.45,89,100,6.44,GL,2020-08-26 04:26:55
13,Bredasdorp,-34.53,20.04,51.8,81,95,3.36,ZA,2020-08-26 04:31:03
14,Bethel,41.37,-73.41,70.0,73,0,1.01,US,2020-08-26 04:31:03
15,Mozarlandia,-14.74,-50.57,75.58,33,0,8.55,BR,2020-08-26 04:31:03
16,Sayyan,15.17,44.32,69.21,45,99,1.86,YE,2020-08-26 04:31:04
17,Rach Gia,10.02,105.08,87.39,70,40,15.05,VN,2020-08-26 04:26:38
18,Atuona,-9.8,-139.03,79.38,72,65,12.28,PF,2020-08-26 04:31:04
19,Sangar,63.92,127.47,60.89,34,0,2.84,RU,2020-08-26 04:31:05
20,Torbay,47.67,-52.73,60.01,93,90,19.46,CA,2020-08-26 04:31:05
21,Toluviejo,9.45,-75.44,73.78,88,98,6.29,CO,2020-08-26 04:31:05
22,Saint Anthony,45.02,-93.22,82.99,65,1,9.17,US,2020-08-26 04:31:05
23,Prince Rupert,54.32,-130.32,55.4,93,90,4.7,CA,2020-08-26 04:31:06
24,Luderitz,-26.65,15.16,52.79,79,0,7.63,NA,2020-08-26 04:31:06
25,Hasaki,35.73,140.83,93.0,70,75,6.93,JP,2020-08-26 04:31:06
